Date,MDividends
9/1/2000,3.17
10/1/2000,1.94
11/1/2000,0.42
12/1/2000,0.39
1/1/2001,0.69
2/1/2001,3.34
3/1/2001,3.39
4/1/2001,5.49
5/1/2001,1.77
6/1/2001,1.71
7/1/2001,0.43
8/1/2001,0.43
9/1/2001,0.5
10/1/2001,0.5
11/1/2001,0.63
12/1/2001,0.92
1/1/2002,0.87
2/1/2002,2.87
3/1/2002,3.85
4/1/2002,2.62
5/1/2002,1.94
6/1/2002,0.74
7/1/2002,0.57
8/1/2002,0.4
9/1/2002,0.54
10/1/2002,0.52
11/1/2002,0.61
12/1/2002,0.6
1/1/2003,0.42
2/1/2003,0.16
3/1/2003,4.94
4/1/2003,4.43
5/1/2003,1.86
6/1/2003,0.97
7/1/2003,0.36
8/1/2003,0.31
9/1/2003,0.44
10/1/2003,1.11
11/1/2003,0.41
12/1/2003,0.55
1/1/2004,0.51
2/1/2004,2.06
3/1/2004,2.46
4/1/2004,3.85
5/1/2004,2.1
6/1/2004,0.87
7/1/2004,0.49
8/1/2004,0.39
9/1/2004,0.41
10/1/2004,0.47
11/1/2004,0.39
12/1/2004,0.42
1/1/2005,0.63
2/1/2005,0.68
3/1/2005,6.96
4/1/2005,4.92
5/1/2005,0.52
6/1/2005,0.92
7/1/2005,0.5
8/1/2005,1.27
9/1/2005,1.86
10/1/2005,7.26
11/1/2005,2.83
12/1/2005,2.17
1/1/2006,0.62
2/1/2006,0.46
3/1/2006,0.35
4/1/2006,0.48
5/1/2006,0.73
6/1/2006,0.52
7/1/2006,0.52
8/1/2006,1.66
9/1/2006,1.23
10/1/2006,2.94
11/1/2006,4.14
12/1/2006,1.5
1/1/2007,0.92
2/1/2007,0.42
3/1/2007,0.36
4/1/2007,0.35
5/1/2007,0.43
6/1/2007,0.41
7/1/2007,0.46
8/1/2007,0.16
9/1/2007,1.81
10/1/2007,3.27
11/1/2007,4.29
12/1/2007,1.99
1/1/2008,0.99
2/1/2008,0.36
3/1/2008,0.43
4/1/2008,0.71
5/1/2008,0.45
6/1/2008,0.46
7/1/2008,0.28
8/1/2008,1.25
9/1/2008,0.9
10/1/2008,4.04
11/1/2008,4.32
12/1/2008,1.61
1/1/2009,0.8
2/1/2009,0.44
3/1/2009,0.59
4/1/2009,0.47
5/1/2009,0.51
6/1/2009,0.63
7/1/2009,0.28
8/1/2009,0.44
9/1/2009,4.95
10/1/2009,4.54
11/1/2009,1.26
12/1/2009,1.98
1/1/2010,1.4
2/1/2010,0.65
3/1/2010,0.61
4/1/2010,3.24
5/1/2010,4.01
6/1/2010,4.35
7/1/2010,1.88
8/1/2010,0.81
9/1/2010,0.38
10/1/2010,0.5
11/1/2010,0.5
12/1/2010,0.51
1/1/2011,0.36
2/1/2011,1.08
3/1/2011,0.37
4/1/2011,1.77
5/1/2011,4.23
6/1/2011,4.76
7/1/2011,1.21
8/1/2011,1.14
9/1/2011,0.59
